source,target,layer,weight
1,10,coauthor,1.0
13,48,coauthor,1.0
18,76,coauthor,1.0
18,130,coauthor,1.0
22,26,coauthor,1.0
29,32,coauthor,1.0
41,118,coauthor,1.0
47,99,coauthor,1.0
47,130,coauthor,1.0
53,72,coauthor,1.0
53,91,coauthor,1.0
53,110,coauthor,1.0
68,142,coauthor,1.0
72,91,coauthor,1.0
76,130,coauthor,1.0
91,110,coauthor,1.0
97,110,coauthor,1.0
99,130,coauthor,1.0
106,118,coauthor,1.0
110,138,coauthor,1.0
130,134,coauthor,1.0
1,10,facebook,1.0
1,29,facebook,1.0
1,32,facebook,1.0
1,71,facebook,1.0
1,79,facebook,1.0
1,106,facebook,1.0
3,18,facebook,1.0
3,47,facebook,1.0
3,54,facebook,1.0
3,76,facebook,1.0
3,79,facebook,1.0
3,124,facebook,1.0
3,130,facebook,1.0
4,10,facebook,1.0
4,32,facebook,1.0
4,47,facebook,1.0
4,54,facebook,1.0
4,67,facebook,1.0
4,71,facebook,1.0
4,76,facebook,1.0
4,91,facebook,1.0
4,110,facebook,1.0
4,123,facebook,1.0
4,130,facebook,1.0
4,142,facebook,1.0
6,21,facebook,1.0
6,67,facebook,1.0
6,69,facebook,1.0
6,124,facebook,1.0
10,54,facebook,1.0
10,91,facebook,1.0
10,142,facebook,1.0
18,47,facebook,1.0
18,54,facebook,1.0
18,76,facebook,1.0
18,79,facebook,1.0
18,109,facebook,1.0
18,124,facebook,1.0
18,130,facebook,1.0
21,67,facebook,1.0
21,69,facebook,1.0
21,106,facebook,1.0
29,32,facebook,1.0
29,91,facebook,1.0
29,106,facebook,1.0
29,107,facebook,1.0
32,67,facebook,1.0
32,71,facebook,1.0
32,91,facebook,1.0
32,106,facebook,1.0
32,107,facebook,1.0
32,110,facebook,1.0
32,123,facebook,1.0
32,130,facebook,1.0
42,49,facebook,1.0
42,79,facebook,1.0
42,123,facebook,1.0
42,142,facebook,1.0
47,54,facebook,1.0
47,76,facebook,1.0
47,79,facebook,1.0
47,109,facebook,1.0
47,123,facebook,1.0
47,124,facebook,1.0
47,130,facebook,1.0
47,142,facebook,1.0
49,123,facebook,1.0
54,76,facebook,1.0
54,79,facebook,1.0
54,109,facebook,1.0
54,124,facebook,1.0
54,142,facebook,1.0
59,67,facebook,1.0
59,91,facebook,1.0
59,106,facebook,1.0
59,110,facebook,1.0
59,113,facebook,1.0
65,79,facebook,1.0
65,91,facebook,1.0
65,112,facebook,1.0
65,113,facebook,1.0
67,69,facebook,1.0
67,71,facebook,1.0
67,91,facebook,1.0
67,110,facebook,1.0
67,113,facebook,1.0
67,123,facebook,1.0
67,130,facebook,1.0
67,142,facebook,1.0
69,91,facebook,1.0
69,113,facebook,1.0
69,124,facebook,1.0
71,79,facebook,1.0
71,107,facebook,1.0
71,110,facebook,1.0
71,123,facebook,1.0
76,79,facebook,1.0
76,109,facebook,1.0
76,112,facebook,1.0
76,124,facebook,1.0
76,130,facebook,1.0
79,91,facebook,1.0
79,109,facebook,1.0
79,110,facebook,1.0
79,124,facebook,1.0
79,130,facebook,1.0
79,142,facebook,1.0
91,110,facebook,1.0
91,113,facebook,1.0
91,123,facebook,1.0
91,124,facebook,1.0
91,142,facebook,1.0
106,107,facebook,1.0
106,123,facebook,1.0
107,124,facebook,1.0
109,124,facebook,1.0
110,113,facebook,1.0
110,142,facebook,1.0
123,130,facebook,1.0
123,142,facebook,1.0
124,130,facebook,1.0
124,134,facebook,1.0
130,134,facebook,1.0
130,142,facebook,1.0
1,10,leisure,1.0
1,14,leisure,1.0
1,23,leisure,1.0
1,26,leisure,1.0
1,73,leisure,1.0
3,54,leisure,1.0
3,90,leisure,1.0
4,67,leisure,1.0
6,90,leisure,1.0
10,13,leisure,1.0
10,37,leisure,1.0
10,54,leisure,1.0
10,73,leisure,1.0
10,142,leisure,1.0
14,17,leisure,1.0
14,19,leisure,1.0
14,23,leisure,1.0
14,73,leisure,1.0
17,23,leisure,1.0
17,73,leisure,1.0
17,91,leisure,1.0
17,107,leisure,1.0
18,62,leisure,1.0
18,76,leisure,1.0
18,99,leisure,1.0
18,124,leisure,1.0
19,23,leisure,1.0
19,73,leisure,1.0
21,126,leisure,1.0
22,42,leisure,1.0
23,73,leisure,1.0
29,32,leisure,1.0
29,126,leisure,1.0
32,107,leisure,1.0
37,142,leisure,1.0
41,106,leisure,1.0
41,118,leisure,1.0
42,49,leisure,1.0
42,79,leisure,1.0
42,142,leisure,1.0
47,76,leisure,1.0
53,91,leisure,1.0
54,76,leisure,1.0
54,79,leisure,1.0
54,90,leisure,1.0
54,91,leisure,1.0
54,109,leisure,1.0
54,126,leisure,1.0
59,65,leisure,1.0
59,72,leisure,1.0
59,91,leisure,1.0
59,110,leisure,1.0
62,76,leisure,1.0
65,72,leisure,1.0
65,79,leisure,1.0
65,91,leisure,1.0
65,110,leisure,1.0
65,113,leisure,1.0
67,110,leisure,1.0
68,141,leisure,1.0
68,142,leisure,1.0
69,91,leisure,1.0
69,126,leisure,1.0
72,91,leisure,1.0
72,138,leisure,1.0
73,79,leisure,1.0
76,79,leisure,1.0
76,90,leisure,1.0
76,109,leisure,1.0
79,90,leisure,1.0
79,99,leisure,1.0
90,91,leisure,1.0
90,109,leisure,1.0
90,126,leisure,1.0
91,107,leisure,1.0
91,110,leisure,1.0
91,113,leisure,1.0
91,124,leisure,1.0
91,126,leisure,1.0
91,138,leisure,1.0
99,124,leisure,1.0
106,118,leisure,1.0
109,126,leisure,1.0
110,113,leisure,1.0
110,126,leisure,1.0
110,138,leisure,1.0
113,138,leisure,1.0
124,126,leisure,1.0
1,10,lunch,1.0
1,14,lunch,1.0
1,19,lunch,1.0
1,23,lunch,1.0
1,29,lunch,1.0
1,32,lunch,1.0
1,73,lunch,1.0
3,18,lunch,1.0
3,54,lunch,1.0
3,62,lunch,1.0
3,76,lunch,1.0
3,79,lunch,1.0
3,90,lunch,1.0
3,109,lunch,1.0
4,13,lunch,1.0
4,33,lunch,1.0
4,48,lunch,1.0
4,63,lunch,1.0
4,67,lunch,1.0
4,68,lunch,1.0
4,71,lunch,1.0
4,92,lunch,1.0
4,97,lunch,1.0
4,112,lunch,1.0
4,123,lunch,1.0
4,130,lunch,1.0
4,134,lunch,1.0
4,141,lunch,1.0
4,142,lunch,1.0
6,21,lunch,1.0
6,37,lunch,1.0
6,69,lunch,1.0
6,90,lunch,1.0
6,97,lunch,1.0
6,126,lunch,1.0
10,14,lunch,1.0
10,19,lunch,1.0
13,134,lunch,1.0
13,142,lunch,1.0
14,17,lunch,1.0
14,19,lunch,1.0
14,23,lunch,1.0
14,29,lunch,1.0
14,32,lunch,1.0
14,73,lunch,1.0
17,23,lunch,1.0
17,29,lunch,1.0
17,32,lunch,1.0
17,73,lunch,1.0
17,107,lunch,1.0
18,54,lunch,1.0
18,62,lunch,1.0
18,76,lunch,1.0
18,79,lunch,1.0
18,90,lunch,1.0
18,99,lunch,1.0
18,109,lunch,1.0
19,23,lunch,1.0
19,73,lunch,1.0
21,37,lunch,1.0
21,67,lunch,1.0
21,69,lunch,1.0
21,97,lunch,1.0
21,126,lunch,1.0
22,26,lunch,1.0
22,41,lunch,1.0
22,42,lunch,1.0
22,49,lunch,1.0
22,106,lunch,1.0
22,118,lunch,1.0
23,73,lunch,1.0
26,41,lunch,1.0
26,42,lunch,1.0
26,49,lunch,1.0
26,106,lunch,1.0
26,118,lunch,1.0
29,32,lunch,1.0
29,107,lunch,1.0
32,73,lunch,1.0
32,107,lunch,1.0
32,130,lunch,1.0
33,63,lunch,1.0
33,67,lunch,1.0
33,71,lunch,1.0
33,102,lunch,1.0
33,123,lunch,1.0
37,67,lunch,1.0
37,69,lunch,1.0
37,97,lunch,1.0
37,126,lunch,1.0
41,42,lunch,1.0
41,106,lunch,1.0
41,118,lunch,1.0
42,47,lunch,1.0
42,49,lunch,1.0
42,106,lunch,1.0
42,118,lunch,1.0
47,79,lunch,1.0
47,99,lunch,1.0
47,109,lunch,1.0
47,124,lunch,1.0
48,68,lunch,1.0
48,92,lunch,1.0
48,112,lunch,1.0
48,134,lunch,1.0
48,141,lunch,1.0
49,106,lunch,1.0
49,118,lunch,1.0
53,59,lunch,1.0
53,65,lunch,1.0
53,72,lunch,1.0
53,91,lunch,1.0
53,110,lunch,1.0
54,62,lunch,1.0
54,76,lunch,1.0
54,79,lunch,1.0
54,90,lunch,1.0
54,109,lunch,1.0
54,126,lunch,1.0
54,134,lunch,1.0
59,65,lunch,1.0
59,67,lunch,1.0
59,72,lunch,1.0
59,91,lunch,1.0
59,110,lunch,1.0
59,126,lunch,1.0
62,76,lunch,1.0
62,79,lunch,1.0
62,90,lunch,1.0
62,109,lunch,1.0
62,134,lunch,1.0
63,67,lunch,1.0
63,71,lunch,1.0
63,79,lunch,1.0
63,123,lunch,1.0
65,67,lunch,1.0
65,72,lunch,1.0
65,91,lunch,1.0
67,71,lunch,1.0
67,72,lunch,1.0
67,91,lunch,1.0
67,113,lunch,1.0
67,123,lunch,1.0
68,92,lunch,1.0
68,112,lunch,1.0
68,141,lunch,1.0
69,72,lunch,1.0
69,97,lunch,1.0
69,126,lunch,1.0
71,97,lunch,1.0
71,123,lunch,1.0
72,91,lunch,1.0
72,110,lunch,1.0
72,113,lunch,1.0
72,126,lunch,1.0
72,138,lunch,1.0
76,79,lunch,1.0
76,90,lunch,1.0
76,99,lunch,1.0
76,109,lunch,1.0
76,134,lunch,1.0
79,90,lunch,1.0
79,99,lunch,1.0
79,109,lunch,1.0
79,123,lunch,1.0
79,130,lunch,1.0
79,134,lunch,1.0
86,130,lunch,1.0
90,109,lunch,1.0
90,126,lunch,1.0
90,134,lunch,1.0
91,110,lunch,1.0
91,126,lunch,1.0
92,134,lunch,1.0
92,141,lunch,1.0
97,106,lunch,1.0
97,126,lunch,1.0
99,109,lunch,1.0
99,124,lunch,1.0
99,134,lunch,1.0
102,139,lunch,1.0
106,118,lunch,1.0
109,124,lunch,1.0
109,126,lunch,1.0
109,134,lunch,1.0
110,113,lunch,1.0
110,126,lunch,1.0
110,130,lunch,1.0
113,126,lunch,1.0
113,138,lunch,1.0
124,126,lunch,1.0
126,138,lunch,1.0
130,134,lunch,1.0
1,10,work,1.0
1,14,work,1.0
1,19,work,1.0
1,23,work,1.0
1,26,work,1.0
1,32,work,1.0
1,71,work,1.0
1,73,work,1.0
1,79,work,1.0
1,124,work,1.0
1,130,work,1.0
1,139,work,1.0
3,90,work,1.0
3,123,work,1.0
4,13,work,1.0
4,33,work,1.0
4,48,work,1.0
4,54,work,1.0
4,63,work,1.0
4,67,work,1.0
4,68,work,1.0
4,71,work,1.0
4,76,work,1.0
4,79,work,1.0
4,90,work,1.0
4,92,work,1.0
4,97,work,1.0
4,99,work,1.0
4,112,work,1.0
4,123,work,1.0
4,124,work,1.0
4,130,work,1.0
4,134,work,1.0
4,141,work,1.0
4,142,work,1.0
6,67,work,1.0
6,71,work,1.0
10,14,work,1.0
10,19,work,1.0
10,23,work,1.0
10,73,work,1.0
10,130,work,1.0
10,139,work,1.0
13,48,work,1.0
13,54,work,1.0
13,92,work,1.0
14,17,work,1.0
14,19,work,1.0
14,23,work,1.0
14,32,work,1.0
14,71,work,1.0
14,73,work,1.0
14,139,work,1.0
17,23,work,1.0
17,29,work,1.0
17,32,work,1.0
17,73,work,1.0
17,107,work,1.0
17,123,work,1.0
18,62,work,1.0
18,123,work,1.0
18,130,work,1.0
19,23,work,1.0
19,54,work,1.0
19,71,work,1.0
19,73,work,1.0
19,139,work,1.0
21,33,work,1.0
21,67,work,1.0
22,26,work,1.0
22,41,work,1.0
22,42,work,1.0
22,49,work,1.0
22,123,work,1.0
23,73,work,1.0
26,32,work,1.0
26,33,work,1.0
26,42,work,1.0
26,49,work,1.0
26,71,work,1.0
26,79,work,1.0
26,97,work,1.0
26,106,work,1.0
26,110,work,1.0
26,118,work,1.0
26,123,work,1.0
26,130,work,1.0
26,139,work,1.0
26,140,work,1.0
29,32,work,1.0
29,107,work,1.0
29,139,work,1.0
32,73,work,1.0
32,86,work,1.0
32,97,work,1.0
32,107,work,1.0
32,110,work,1.0
32,130,work,1.0
33,63,work,1.0
33,67,work,1.0
33,71,work,1.0
33,110,work,1.0
33,118,work,1.0
33,123,work,1.0
37,67,work,1.0
41,106,work,1.0
41,118,work,1.0
42,79,work,1.0
42,123,work,1.0
47,62,work,1.0
47,99,work,1.0
47,123,work,1.0
47,130,work,1.0
48,69,work,1.0
49,123,work,1.0
53,91,work,1.0
53,110,work,1.0
54,79,work,1.0
54,90,work,1.0
54,109,work,1.0
54,123,work,1.0
54,130,work,1.0
59,67,work,1.0
59,91,work,1.0
59,110,work,1.0
62,76,work,1.0
62,109,work,1.0
62,123,work,1.0
62,130,work,1.0
63,67,work,1.0
63,71,work,1.0
63,123,work,1.0
65,67,work,1.0
65,72,work,1.0
65,91,work,1.0
67,69,work,1.0
67,71,work,1.0
67,72,work,1.0
67,91,work,1.0
67,97,work,1.0
67,110,work,1.0
67,113,work,1.0
67,118,work,1.0
67,123,work,1.0
67,126,work,1.0
67,138,work,1.0
67,139,work,1.0
68,112,work,1.0
68,141,work,1.0
68,142,work,1.0
69,126,work,1.0
71,97,work,1.0
71,107,work,1.0
71,110,work,1.0
71,118,work,1.0
71,123,work,1.0
71,139,work,1.0
71,140,work,1.0
72,91,work,1.0
72,110,work,1.0
76,123,work,1.0
76,130,work,1.0
79,99,work,1.0
79,110,work,1.0
79,123,work,1.0
79,130,work,1.0
86,107,work,1.0
90,118,work,1.0
90,123,work,1.0
91,110,work,1.0
91,113,work,1.0
91,138,work,1.0
97,118,work,1.0
97,123,work,1.0
97,139,work,1.0
99,123,work,1.0
99,130,work,1.0
99,134,work,1.0
106,118,work,1.0
106,123,work,1.0
107,139,work,1.0
109,130,work,1.0
110,113,work,1.0
110,123,work,1.0
110,126,work,1.0
110,138,work,1.0
113,138,work,1.0
118,123,work,1.0
123,124,work,1.0
123,130,work,1.0
123,139,work,1.0
123,142,work,1.0
124,130,work,1.0
130,134,work,1.0
